target,listing_type,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms
4000,Other,Hyper equipped,Renovated,1050,No,Yes,No,3.0,210,20,3
1950,Other,Not installed,Renovated,1180,No,Yes,Unknown,2.0,130,10,2
1150,Other,Semi equipped,Renovated,1200,No,Yes,No,1.0,102,15,2
900,Apartment,Installed,Renovated,1070,No,Yes,No,1.0,90,10,3
1700,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,1.0,96,11,2
4200,Other,Hyper equipped,Renovated,1050,No,Yes,Yes,3.0,150,21,3
1345,Other,Hyper equipped,Renovated,1180,No,Yes,No,1.0,72,15,2
1349,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,1.0,73,15,1
2770,Other,Hyper equipped,Renovated,1050,No,Yes,Yes,3.0,130,14,3
1380,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,1.0,98,18,1
1150,Apartment,Hyper equipped,Good,1200,No,Yes,No,1.0,64,14,1
2650,Other,Hyper equipped,Renovated,1200,No,Yes,No,2.0,180,26,5
2601,Other,Hyper equipped,Renovated,1200,No,Yes,No,3.0,300,25,5
1500,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,51,13,1
4400,Apartment,Hyper equipped,Renovated,1050,No,Yes,No,3.0,249,20,3
1230,Other,Hyper equipped,Renovated,1000,No,Yes,Yes,1.0,43,12,1
855,Other,Not installed,Renovated,1060,No,Yes,No,1.0,38,10,1
2450,Apartment,Hyper equipped,Renovated,1200,No,Yes,No,2.0,140,19,2
1480,Apartment,Hyper equipped,Good,1180,No,Yes,No,2.0,100,14,2
1300,Other,Hyper equipped,Renovated,1180,No,Yes,No,1.0,100,14,2
1300,Other,Hyper equipped,Renovated,1180,No,Yes,No,1.0,100,14,2
3550,Other,Hyper equipped,Renovated,1180,No,Yes,No,3.0,300,10,3
2600,Other,Installed,Good,1000,No,Yes,No,2.0,170,17,3
2100,Other,Hyper equipped,Renovated,1000,No,Yes,Yes,2.0,160,10,2
720,Other,Not installed,Good,1040,No,No,Unknown,0.0,128,10,1
2450,Apartment,Hyper equipped,Good,1000,No,Yes,Yes,1.0,79,18,1
1400,Apartment,Hyper equipped,Good,1000,No,Yes,Yes,1.0,80,13,2
1400,Apartment,Installed,Renovated,1060,No,Yes,Yes,1.0,109,11,1
1200,Apartment,Installed,Good,1040,No,Yes,Unknown,1.0,128,20,1
1280,Other,Installed,Good,1180,No,No,Unknown,2.0,128,16,2
1300,Apartment,Hyper equipped,Renovated,,No,Yes,No,1.0,65,10,1
1750,Other,Installed,Renovated,1050,No,Yes,No,2.0,100,20,2
1180,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,1.0,90,13,1
900,Other,Not installed,Renovated,1020,No,No,Yes,0.0,52,10,1
1850,Apartment,Installed,Good,1150,No,Yes,No,2.0,130,10,3
1370,Other,Hyper equipped,Good,1040,No,Yes,No,2.0,154,10,3
1300,Apartment,Hyper equipped,Good,1000,No,No,No,1.0,112,33,1
1180,Apartment,Installed,Good,1000,No,Yes,No,1.0,70,13,2
920,Other,Installed,Good,,No,Yes,No,1.0,42,10,1
1315,Other,Installed,Good,,No,Yes,No,1.0,75,10,1
