target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
4000,Other,Hyper equipped,Renovated,1050,Yes,3.0,210,3
1950,Other,Not installed,Renovated,1180,Yes,2.0,130,2
1150,Other,Semi equipped,Renovated,1200,Yes,1.0,102,2
900,Apartment,Installed,Renovated,1070,Yes,1.0,90,3
1700,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,96,2
4200,Other,Hyper equipped,Renovated,1050,Yes,3.0,150,3
1345,Other,Hyper equipped,Renovated,1180,Yes,1.0,72,2
1349,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,73,1
2770,Other,Hyper equipped,Renovated,1050,Yes,3.0,130,3
1380,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,98,1
1150,Apartment,Hyper equipped,Good,1200,Yes,1.0,64,1
2650,Other,Hyper equipped,Renovated,1200,Yes,2.0,180,5
2601,Other,Hyper equipped,Renovated,1200,Yes,3.0,300,5
1500,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,51,1
4400,Apartment,Hyper equipped,Renovated,1050,Yes,3.0,249,3
1230,Other,Hyper equipped,Renovated,1000,Yes,1.0,43,1
855,Other,Not installed,Renovated,1060,Yes,1.0,38,1
2450,Apartment,Hyper equipped,Renovated,1200,Yes,2.0,140,2
1480,Apartment,Hyper equipped,Good,1180,Yes,2.0,100,2
1300,Other,Hyper equipped,Renovated,1180,Yes,1.0,100,2
1300,Other,Hyper equipped,Renovated,1180,Yes,1.0,100,2
3550,Other,Hyper equipped,Renovated,1180,Yes,3.0,300,3
2600,Other,Installed,Good,1000,Yes,2.0,170,3
2100,Other,Hyper equipped,Renovated,1000,Yes,2.0,160,2
720,Other,Not installed,Good,1040,No,0.0,128,1
2450,Apartment,Hyper equipped,Good,1000,Yes,1.0,79,1
1400,Apartment,Hyper equipped,Good,1000,Yes,1.0,80,2
1400,Apartment,Installed,Renovated,1060,Yes,1.0,109,1
1200,Apartment,Installed,Good,1040,Yes,1.0,128,1
1280,Other,Installed,Good,1180,No,2.0,128,2
1300,Apartment,Hyper equipped,Renovated,,Yes,1.0,65,1
1750,Other,Installed,Renovated,1050,Yes,2.0,100,2
1180,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,90,1
900,Other,Not installed,Renovated,1020,No,0.0,52,1
1850,Apartment,Installed,Good,1150,Yes,2.0,130,3
1370,Other,Hyper equipped,Good,1040,Yes,2.0,154,3
1300,Apartment,Hyper equipped,Good,1000,No,1.0,112,1
1180,Apartment,Installed,Good,1000,Yes,1.0,70,2
920,Other,Installed,Good,,Yes,1.0,42,1
1315,Other,Installed,Good,,Yes,1.0,75,1
1175,Other,Installed,Good,,Yes,1.0,70,1
1205,Apartment,Installed,Good,,Yes,1.0,70,1
1200,Apartment,Hyper equipped,Renovated,1000,Yes,1.0,95,2
1050,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,60,1
1290,Apartment,Not installed,Good,1050,Yes,2.0,70,2
1145,Apartment,Not installed,Renovated,1030,No,1.0,90,2
710,Other,Not installed,Good,,Yes,0.0,128,1
1275,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,70,1
1350,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,77,1
3400,Apartment,Hyper equipped,Good,1050,Yes,4.0,280,4
1450,Apartment,Installed,Renovated,1180,Yes,1.0,100,2
1250,Apartment,Hyper equipped,Renovated,1030,Yes,1.0,80,2
1100,Other,Installed,Renovated,1040,Yes,1.0,40,1
1175,Other,Installed,Good,1030,Yes,1.0,70,1
1175,Other,Installed,Good,1140,Yes,1.0,70,1
1175,Apartment,Installed,Good,1030,Yes,1.0,70,1
1175,Apartment,Installed,Good,1140,Yes,1.0,70,1
590,Other,Installed,Good,1040,Yes,1.0,35,1
1500,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,100,2
1500,Apartment,Installed,Good,1000,Yes,1.0,128,2
6500,Other,Not installed,Good,,Yes,3.0,250,4
1400,Other,Installed,Renovated,1170,Yes,1.0,92,3
1380,Apartment,Semi equipped,Renovated,1200,Yes,1.0,100,2
1500,Other,Hyper equipped,Renovated,1050,Yes,1.0,75,1
1850,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,149,2
2250,Other,Installed,Good,,No,1.0,132,4
3200,Apartment,Installed,Good,,No,2.0,200,3
1125,Apartment,Hyper equipped,Good,1040,Yes,1.0,78,2
1070,Other,Hyper equipped,Renovated,1030,Yes,1.0,55,1
1680,Apartment,Not installed,Renovated,1160,Yes,2.0,90,2
1380,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,75,1
3200,Apartment,Hyper equipped,Renovated,1050,Yes,3.0,230,3
1100,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,78,2
960,Other,Not installed,Good,1000,Yes,1.0,85,1
950,Apartment,Not installed,Good,1000,Yes,1.0,50,1
1225,Apartment,Installed,Good,1050,Yes,1.0,80,2
885,Other,Installed,Good,1180,Yes,0.0,128,1
1795,Other,Hyper equipped,Good,1210,Yes,2.0,120,3
4200,Other,Installed,Renovated,1050,No,3.0,150,3
1575,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,70,1
1425,Apartment,Hyper equipped,Good,1150,Yes,1.0,136,2
800,Other,Installed,Good,1180,Yes,1.0,47,1
2150,Apartment,Installed,Good,1050,No,2.0,110,3
1350,Other,Installed,Good,,No,1.0,42,1
2100,Other,Installed,Good,,No,1.0,128,2
1365,Apartment,Installed,Renovated,1040,Yes,1.0,124,2
1400,Other,Hyper equipped,Renovated,1180,Yes,2.0,98,2
1250,Other,Installed,Good,1180,Yes,2.0,90,2
710,Other,Installed,Good,1190,No,1.0,44,1
2300,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,140,3
800,Apartment,Semi equipped,Good,1040,Yes,1.0,67,1
1700,Other,Hyper equipped,Renovated,1050,Yes,2.0,140,2
1450,Apartment,Hyper equipped,Renovated,1180,Yes,1.0,128,2
4600,Other,Hyper equipped,Renovated,1180,Yes,3.0,218,3
4000,Other,Hyper equipped,Renovated,,Yes,2.0,264,3
1000,Apartment,Installed,Good,1030,Yes,1.0,73,2
1100,Apartment,Not installed,Good,1030,Yes,1.0,128,2
1215,Apartment,Not installed,Good,1180,No,2.0,128,1
1160,Apartment,Hyper equipped,Good,1180,Yes,2.0,90,2
1950,Other,Hyper equipped,Good,1180,No,1.0,167,3
1950,Other,Hyper equipped,Good,1180,No,1.0,167,3
1725,Apartment,Hyper equipped,Renovated,1160,Yes,2.0,102,2
1100,Apartment,Not installed,Good,1160,Yes,1.0,95,2
940,Apartment,Not installed,Good,1040,Yes,1.0,70,1
1050,Apartment,Installed,Good,1000,No,1.0,71,1
1375,Apartment,Hyper equipped,Renovated,1050,Yes,1.0,73,1
800,Apartment,Not installed,Good,1050,No,0.0,60,1
930,Apartment,Hyper equipped,Renovated,1200,Yes,1.0,55,1
