target,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms,Municipality
1850,Hyper equipped,Renovated,1140,No,Yes,Yes,1,89,15,2,Evere
1640,Not installed,Good,1000,No,Yes,No,2,128,10,3,Brussels City
3525,Hyper equipped,Good,1180,No,No,Yes,2,100,10,2,Uccle
1090,Installed,Renovated,1200,No,Yes,Yes,1,70,10,2,Woluwe-Saint-Lambert
1600,Hyper equipped,Renovated,1030,No,Yes,Unknown,2,94,10,3,Schaerbeek
965,Hyper equipped,Good,1040,No,Yes,No,1,65,16,1,Etterbeek
1730,Hyper equipped,Good,1040,No,Yes,No,2,130,10,3,Etterbeek
900,Semi equipped,Renovated,1040,No,Yes,Yes,1,40,12,1,Etterbeek
1200,Not installed,Renovated,1040,No,No,Yes,1,128,25,1,Etterbeek
1100,Not installed,Good,1180,No,Yes,No,1,65,14,1,Uccle
1100,Installed,Renovated,1030,No,Yes,No,5,105,16,2,Schaerbeek
1065,Hyper equipped,Renovated,1140,No,Yes,No,1,86,16,2,Evere
1295,Hyper equipped,Renovated,1000,No,Yes,Yes,1,67,10,1,Brussels City
1915,Hyper equipped,Renovated,1200,No,Yes,No,2,125,19,3,Woluwe-Saint-Lambert
1080,Hyper equipped,Renovated,1000,No,Yes,No,2,75,12,1,Brussels City
2500,Not installed,Good,1170,No,Yes,No,1,145,10,3,Watermael-Boitsfort
1500,Not installed,Renovated,1180,No,Yes,No,2,118,10,2,Uccle
650,Installed,Good,1200,No,No,Unknown,1,109,10,1,Woluwe-Saint-Lambert
1280,Hyper equipped,Renovated,1050,No,Yes,No,1,80,10,2,Ixelles
1210,Installed,Good,1080,No,Yes,Unknown,2,120,18,2,Molenbeek-Saint-Jean
1085,Not installed,Good,1000,No,Yes,Yes,1,70,12,2,Brussels City
1500,Hyper equipped,Renovated,1050,No,Yes,No,1,100,10,2,Ixelles
5630,Hyper equipped,Renovated,1050,No,Yes,Yes,2,191,13,2,Ixelles
1500,Hyper equipped,Renovated,1030,No,Yes,No,1,95,16,2,Schaerbeek
1300,Installed,Good,1040,No,Yes,No,2,150,10,2,Etterbeek
1730,Installed,Good,1150,No,Yes,No,2,128,16,3,Woluwe-St-Pierre
1900,Not installed,Good,1180,No,Yes,No,2,110,10,2,Uccle
1100,Hyper equipped,Renovated,1140,No,Yes,No,1,69,14,1,Evere
1070,Installed,Good,1170,No,Yes,Unknown,1,90,10,2,Watermael-Boitsfort
1655,Hyper equipped,Renovated,1180,No,Yes,Unknown,1,98,16,2,Uccle
2500,Not installed,Renovated,1000,No,Yes,No,3,270,10,3,Brussels City
1200,Hyper equipped,Good,1070,No,Yes,Unknown,1,140,16,2,Anderlecht
930,Hyper equipped,Renovated,1050,No,Yes,No,1,119,10,1,Ixelles
1750,Hyper equipped,Renovated,1050,No,Yes,No,2,160,20,3,Ixelles
6000,Hyper equipped,Renovated,1050,No,Yes,No,3,187,25,3,Ixelles
3075,Hyper equipped,Renovated,1050,No,Yes,No,3,187,23,3,Ixelles
4410,Hyper equipped,Renovated,1050,No,Yes,Yes,3,210,17,3,Ixelles
1380,Not installed,Renovated,1050,No,Yes,No,1,100,10,2,Ixelles
1400,Semi equipped,Renovated,1200,No,Yes,No,1,126,15,3,Woluwe-Saint-Lambert
1450,Installed,Good,1180,No,Yes,Unknown,2,100,13,2,Uccle
1030,Installed,Renovated,1200,No,Yes,Yes,1,65,18,1,Woluwe-Saint-Lambert
1250,Hyper equipped,Renovated,1070,No,Yes,Unknown,1,105,10,1,Anderlecht
2300,Hyper equipped,Renovated,1050,No,Yes,No,2,101,17,2,Ixelles
1125,Hyper equipped,Good,1000,No,Yes,No,1,90,14,2,Brussels City
1100,Hyper equipped,Renovated,1050,No,Yes,No,1,56,12,1,Ixelles
1370,Hyper equipped,Renovated,1000,No,Yes,No,1,100,16,2,Brussels City
2120,Hyper equipped,Renovated,1050,No,Yes,No,2,130,19,2,Ixelles
1350,Hyper equipped,Renovated,1050,No,Yes,Yes,1,40,11,1,Ixelles
1590,Hyper equipped,Renovated,1050,No,Yes,No,2,103,13,2,Ixelles
1650,Hyper equipped,Renovated,1160,No,Yes,Yes,1,100,14,2,Auderghem
2601,Hyper equipped,Renovated,1140,No,Yes,No,3,300,25,5,Evere
1750,Hyper equipped,Renovated,1050,No,Yes,No,2,103,13,2,Ixelles
2150,Hyper equipped,Renovated,1040,No,Yes,No,1,125,15,3,Etterbeek
1300,Hyper equipped,Good,1040,No,Yes,No,1,90,15,1,Etterbeek
660,Not installed,Good,1190,No,Yes,No,1,37,10,1,Forest
1825,Hyper equipped,Renovated,1180,No,Yes,No,2,140,10,3,Uccle
1700,Hyper equipped,Good,1180,No,Yes,No,1,140,20,2,Uccle
1150,Hyper equipped,Good,1050,No,Yes,Yes,2,78,15,1,Ixelles
